"order date,ship date,ship mode,segment,country,city,state,postal code,region,product id,category,sub-category,product name,sales,quantity,discount,profit,order year,order month,shipping days"
"2016-11-08,2016-11-11,second class,consumer,United States,Henderson,Kentucky,42420,south,FUR-BO-10001798,furniture,bookcases,Bush Somerset Collection Bookcase,261.96,2,0.0,41.9136,2016,11,3"
"2016-11-08,2016-11-11,second class,consumer,United States,Henderson,Kentucky,42420,south,FUR-CH-10000454,furniture,chairs,""Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"",498.93,3,0.0,70.816875,2016,11,3"
"2016-06-12,2016-06-16,second class,corporate,United States,Los Angeles,California,90036,west,OFF-LA-10000240,office supplies,labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0.0,6.8714,2016,6,4"
"2015-10-11,2015-10-18,standard class,consumer,United States,Fort Lauderdale,Florida,33311,south,FUR-TA-10000577,furniture,tables,Bretford CR4500 Series Slim Rectangular Table,498.93,5,0.45,-39.724125,2015,10,7"
"2015-10-11,2015-10-18,standard class,consumer,United States,Fort Lauderdale,Florida,33311,south,OFF-ST-10000760,office supplies,storage,Eldon Fold 'N Roll Cart System,22.368,2,0.2,2.5164,2015,10,7"
"2014-06-09,2014-06-14,standard class,consumer,United States,Los Angeles,California,90032,west,FUR-FU-10001487,furniture,furnishings,""Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood"",48.86,7,0.0,14.1694,2014,6,5"
"2014-06-09,2014-06-14,standard class,consumer,United States,Los Angeles,California,90032,west,OFF-AR-10002833,office supplies,art,Newell 322,7.28,4,0.0,1.9656,2014,6,5"
"2014-06-09,2014-06-14,standard class,consumer,United States,Los Angeles,California,90032,west,TEC-PH-10002275,technology,phones,Mitel 5320 IP Phone VoIP phone,498.93,6,0.2,70.816875,2014,6,5"
"2014-06-09,2014-06-14,standard class,consumer,United States,Los Angeles,California,90032,west,OFF-BI-10003910,office supplies,binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825,2014,6,5"
"2014-06-09,2014-06-14,standard class,consumer,United States,Los Angeles,California,90032,west,OFF-AP-10002892,office supplies,appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,34.47,2014,6,5"
"2014-06-09,2014-06-14,standard class,consumer,United States,Los Angeles,California,90032,west,FUR-TA-10001539,furniture,tables,Chromcraft Rectangular Conference Tables,498.93,9,0.2,70.816875,2014,6,5"
"2014-06-09,2014-06-14,standard class,consumer,United States,Los Angeles,California,90032,west,TEC-PH-10002033,technology,phones,Konftel 250 ConferenceÂ phoneÂ - Charcoal black,498.93,4,0.2,68.3568,2014,6,5"
"2017-04-15,2017-04-20,standard class,consumer,United States,Concord,North Carolina,28027,south,OFF-PA-10002365,office supplies,paper,Xerox 1967,15.552,3,0.2,5.4432,2017,4,5"
"2016-12-05,2016-12-10,standard class,consumer,United States,Seattle,Washington,98103,west,OFF-BI-10003656,office supplies,binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,70.816875,2016,12,5"
"2015-11-22,2015-11-26,standard class,home office,United States,Fort Worth,Texas,76106,central,OFF-AP-10002311,office supplies,appliances,""Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"",68.81,5,0.5,-39.724125,2015,11,4"
"2015-11-22,2015-11-26,standard class,home office,United States,Fort Worth,Texas,76106,central,OFF-BI-10000756,office supplies,binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3,0.5,-3.816,2015,11,4"
"2014-11-11,2014-11-18,standard class,consumer,United States,Madison,Wisconsin,53711,central,OFF-ST-10004186,office supplies,storage,""Stur-D-Stor Shelving, Vertical 5-Shelf: 72""""H x 36""""W x 18 1/2""""D"",498.93,6,0.0,13.3176,2014,11,7"
"2014-05-13,2014-05-15,second class,consumer,United States,West Jordan,Utah,84084,west,OFF-ST-10000107,office supplies,storage,Fellowes Super Stor/Drawer,55.5,2,0.0,9.99,2014,5,2"
"2014-08-27,2014-09-01,second class,consumer,United States,San Francisco,California,94109,west,OFF-AR-10003056,office supplies,art,Newell 341,8.56,2,0.0,2.4824,2014,8,5"
"2014-08-27,2014-09-01,second class,consumer,United States,San Francisco,California,94109,west,TEC-PH-10001949,technology,phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011,2014,8,5"
"2014-08-27,2014-09-01,second class,consumer,United States,San Francisco,California,94109,west,OFF-BI-10002215,office supplies,binders,""Wilson Jones Hanging View Binder, White, 1"""""",22.72,4,0.2,7.384,2014,8,5"
"2016-12-09,2016-12-13,standard class,corporate,United States,Fremont,Nebraska,68025,central,OFF-AR-10000246,office supplies,art,Newell 318,19.46,7,0.0,5.0596,2016,12,4"
"2016-12-09,2016-12-13,standard class,corporate,United States,Fremont,Nebraska,68025,central,OFF-AP-10001492,office supplies,appliances,""Acco Six-Outlet Power Strip, 4' Cord Length"",60.34,7,0.0,15.6884,2016,12,4"
"2017-07-16,2017-07-18,second class,consumer,United States,Philadelphia,Pennsylvania,19140,east,FUR-CH-10002774,furniture,chairs,""Global Deluxe Stacking Chair, Gray"",71.372,2,0.3,-1.0196,2017,7,2"
"2015-09-25,2015-09-30,standard class,consumer,United States,Orem,Utah,84057,west,FUR-TA-10000577,furniture,tables,Bretford CR4500 Series Slim Rectangular Table,498.93,3,0.0,70.816875,2015,9,5"
"2016-01-16,2016-01-20,second class,consumer,United States,Los Angeles,California,90049,west,OFF-BI-10001634,office supplies,binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224,2016,1,4"
